batter,total_runs,average_runs,balls_faced,total_wickets,strike_rate
A Ashish Reddy,280,1.4285714285714286,196,15,142.85714285714286
A Badoni,634,1.2554455445544555,505,26,125.54455445544555
A Chandila,4,0.5714285714285714,7,1,57.14285714285714
A Chopra,53,0.7066666666666667,75,5,70.66666666666667
A Choudhary,25,1.25,20,2,125
A Dananjaya,4,0.8,5,0,80
A Flintoff,62,1.087719298245614,57,2,108.77192982456141
A Kamboj,2,1,2,0,100
A Kumble,35,0.7142857142857143,49,2,71.42857142857143
A Manohar,231,1.276243093922652,181,14,127.62430939226519
A Mishra,381,0.865909090909091,440,31,86.5909090909091
A Mithun,34,1.3076923076923077,26,5,130.76923076923077
A Mukund,19,0.8260869565217391,23,2,82.6086956521739
A Nehra,41,0.6507936507936508,63,8,65.07936507936508
A Nortje,49,0.9607843137254902,51,5,96.07843137254902
A Raghuvanshi,163,1.4954128440366972,109,7,149.54128440366972
A Singh,2,0.2,10,4,20
A Symonds,974,1.2471190781049937,781,26,124.71190781049937
A Tomar,4,0.5,8,1,50
A Uniyal,4,0.5714285714285714,7,1,57.14285714285714
A Zampa,15,0.6,25,5,60
AA Bilakhia,69,0.7840909090909091,88,5,78.4090909090909
AA Chavan,12,1.0909090909090908,11,1,109.09090909090908
AA Jhunjhunwala,217,0.9954128440366973,218,14,99.54128440366972
AA Kulkarni,9,1.125,8,2,112.5
AA Noffke,9,0.75,12,1,75
AB Agarkar,179,1.11875,160,8,111.87499999999999
AB Barath,42,0.9767441860465116,43,2,97.67441860465115
AB Dinda,26,0.52,50,9,52
AB McDonald,123,1.1941747572815533,103,5,119.41747572815532
AB de Villiers,5181,1.4858044164037856,3487,125,148.58044164037855
AC Blizzard,120,1.3186813186813187,91,7,131.86813186813185
AC Gilchrist,2069,1.3305466237942123,1555,76,133.05466237942122
AC Thomas,20,1.0526315789473684,19,2,105.26315789473684
AC Voges,181,1.2657342657342658,143,6,126.57342657342659
AD Hales,148,1.2436974789915967,119,6,124.36974789915966
AD Mascarenhas,79,1,79,10,100
AD Mathews,724,1.2086811352253757,599,31,120.86811352253757
AD Nath,90,0.9090909090909091,99,10,90.9090909090909
AD Russell,2488,1.6422442244224422,1515,84,164.22442244224422
AF Milne,23,0.7419354838709677,31,5,74.19354838709677
AG Murtaza,10,0.7142857142857143,14,1,71.42857142857143
AG Paunikar,49,0.8032786885245902,61,5,80.32786885245902
AJ Finch,2092,1.2334905660377358,1696,84,123.34905660377358
AJ Hosein,16,1.4545454545454546,11,0,145.45454545454547
AJ Turner,24,0.7741935483870968,31,5,77.41935483870968
AJ Tye,91,1.1518987341772151,79,8,115.18987341772151
AK Markram,995,1.264294790343075,787,33,126.4294790343075
AL Menaria,401,1.0926430517711172,367,22,109.26430517711172
AM Nayar,672,1.1428571428571428,588,39,114.28571428571428
AM Rahane,4642,1.2032141005702437,3858,156,120.32141005702437
AN Ahmed,36,1.3333333333333333,27,1,133.33333333333331
AN Ghosh,7,0.875,8,2,87.5
AP Dole,34,1.4782608695652173,23,2,147.82608695652172
AP Majumdar,87,1.12987012987013,77,4,112.98701298701299
AP Tare,339,1.1894736842105262,285,24,118.94736842105263
AR Bawne,12,1,12,0,100
AR Patel,1653,1.2541729893778453,1318,78,125.41729893778452
AS Joseph,27,0.84375,32,1,84.375
AS Rajpoot,26,0.6341463414634146,41,4,63.41463414634146
AS Raut,194,1.127906976744186,172,11,112.79069767441861
AS Roy,26,1.0833333333333333,24,3,108.33333333333333
AS Yadav,49,1.225,40,7,122.50000000000001
AT Carey,32,1.103448275862069,29,2,110.34482758620689
AT Rayudu,4348,1.2458452722063038,3490,152,124.58452722063038
AU Rashid,22,1.2941176470588236,17,2,129.41176470588235
AUK Pathan,39,1.5,26,5,150
Abdul Basith,1,1,1,0,100
Abdul Samad,579,1.4191176470588236,408,32,141.91176470588235
Abdur Razzak,0,0,2,0,0
Abhishek Sharma,1377,1.4886486486486485,925,55,148.86486486486484
Abishek Porel,360,1.4754098360655739,244,16,147.54098360655738
Akash Deep,19,1.5833333333333333,12,2,158.33333333333331
Akash Madhwal,4,0.8,5,0,80
Aman Hakim Khan,115,1.055045871559633,109,9,105.50458715596329
Anirudh Singh,63,0.9130434782608695,69,4,91.30434782608695
Ankit Sharma,87,1.2608695652173914,69,7,126.08695652173914
Ankit Soni,7,0.7777777777777778,9,2,77.77777777777779
Anmolpreet Singh,139,1.188034188034188,117,9,118.80341880341881
Anuj Rawat,318,1.1521739130434783,276,14,115.21739130434783
Anureet Singh,36,0.7659574468085106,47,4,76.59574468085107
Arjun Tendulkar,13,1.4444444444444444,9,1,144.44444444444443
Arshad Khan,96,1.4328358208955223,67,4,143.28358208955223
Arshad Khan (2),5,1.25,4,1,125
Arshdeep Singh,29,0.6904761904761905,42,5,69.04761904761905
Ashutosh Sharma,189,1.6016949152542372,118,8,160.16949152542372
Atharva Taide,247,1.3954802259887005,177,8,139.54802259887003
Avesh Khan,41,1.64,25,1,164
Azhar Mahmood,388,1.247588424437299,311,19,124.7588424437299
Azmatullah Omarzai,42,1.2352941176470589,34,4,123.52941176470588
B Akhil,76,1.3333333333333333,57,7,133.33333333333331
B Chipli,280,1.09375,256,16,109.375
B Indrajith,21,0.6774193548387096,31,3,67.74193548387096
B Kumar,306,0.9053254437869822,338,34,90.53254437869822
B Laughlin,5,0.38461538461538464,13,2,38.46153846153847
B Lee,124,1.2156862745098038,102,10,121.56862745098039
B Sai Sudharsan,1034,1.3428571428571427,770,21,134.28571428571428
B Stanlake,5,2.5,2,0,250
B Sumanth,35,0.9210526315789473,38,1,92.10526315789474
BA Bhatt,6,0.8571428571428571,7,0,85.71428571428571
BA Stokes,935,1.3022284122562675,718,41,130.22284122562675
BAW Mendis,3,0.5,6,2,50
BB McCullum,2882,1.2684859154929577,2272,106,126.84859154929578
BB Samantray,125,1.0775862068965518,116,5,107.75862068965519
BB Sran,10,0.7142857142857143,14,1,71.42857142857143
BCJ Cutting,238,1.63013698630137,146,11,163.013698630137
BE Hendricks,1,0.3333333333333333,3,1,33.33333333333333
BJ Haddin,18,1.6363636363636365,11,1,163.63636363636365
BJ Hodge,1400,1.2142237640936686,1153,46,121.42237640936686
BJ Rohrer,193,1.321917808219178,146,7,132.1917808219178
BMAJ Mendis,23,0.8518518518518519,27,3,85.18518518518519
BR Dunk,40,1.1111111111111112,36,3,111.11111111111111
BR Sharath,2,0.4,5,1,40
Basil Thampi,32,0.8648648648648649,37,2,86.48648648648648
Bipul Sharma,187,1.5080645161290323,124,6,150.80645161290323
C Green,707,1.4978813559322033,472,20,149.78813559322032
C Madan,15,0.7142857142857143,21,1,71.42857142857143
C Munro,177,1.2291666666666667,144,9,122.91666666666667
C Nanda,0,0,1,1,0
C Sakariya,20,0.6451612903225806,31,5,64.51612903225806
C de Grandhomme,303,1.3231441048034935,229,15,132.31441048034935
CA Ingram,205,1.1202185792349726,183,12,112.02185792349727
CA Lynn,1329,1.364476386036961,974,39,136.4476386036961
CA Pujara,390,0.967741935483871,403,18,96.7741935483871
CH Gayle,4997,1.421217292377702,3516,128,142.1217292377702
CH Morris,618,1.4963680387409202,413,29,149.636803874092
CJ Anderson,538,1.2339449541284404,436,22,123.39449541284404
CJ Ferguson,98,0.8235294117647058,119,6,82.35294117647058
CJ Jordan,81,1,81,9,100
CJ McKay,8,0.5333333333333333,15,1,53.333333333333336
CK Kapugedera,16,0.6666666666666666,24,3,66.66666666666666
CK Langeveldt,8,0.8888888888888888,9,2,88.88888888888889
CL White,971,1.2545219638242895,774,35,125.45219638242895
CM Gautam,169,1.0696202531645569,158,9,106.9620253164557
CR Brathwaite,181,1.5083333333333333,120,14,150.83333333333334
CR Woakes,78,1.0129870129870129,77,5,101.29870129870129
CRD Fernando,4,1.3333333333333333,3,1,133.33333333333331
CV Varun,25,0.5102040816326531,49,2,51.02040816326531
D Brevis,230,1.3068181818181819,176,10,130.6818181818182
