batting_team,total_runs,average_runs,total_wickets
Chennai Super Kings,38629,38629,1245
Deccan Chargers,11463,11463,484
Delhi Capitals,14900,14900,570
Delhi Daredevils,24296,24296,952
Gujarat Lions,4862,4862,188
Gujarat Titans,7757,7757,247
Kings XI Punjab,30064,30064,1158
Kochi Tuskers Kerala,1901,1901,86
Kolkata Knight Riders,39331,39331,1491
Lucknow Super Giants,7510,7510,276
Mumbai Indians,42176,42176,1573
Pune Warriors,6358,6358,298
Punjab Kings,9536,9536,371
Rajasthan Royals,34747,34747,1312
Rising Pune Supergiant,2470,2470,90
Rising Pune Supergiants,2063,2063,68
Royal Challengers Bangalore,37692,37692,1384
Royal Challengers Bengaluru,2930,2930,99
Sunrisers Hyderabad,29071,29071,1058
